Williams,#512698,#fdcc09
Emory,#012169,#f2a900
Amherst,#3f1f69,#ffffff
Claremont-Mudd-Scripps,#edaa1e,#8d2232
Middlebury,#003882,#ffffff
Bowdoin,#000000,#ffffff
Johns Hopkins,#68ACE5,#000000
Chicago,#800000,#767676
Carnegie Mellon,bb0000,#ffffff
Pomona-Pitzer,#f7941d,#20438f
Redlands,#7A2426,#E1E1E1
Wash U St. Louis,#007360,#A51417
DePauw,#FFC72C,#111C24
UC Santa Cruz,#003c6c,#fdc700
Sewanee,#582C83,#CEB888
Whitman,#001F5B,#FFC627	
Tufts,#418FDE,#4F2C1D
Trinity (CT),#00305a,#ffd200
Skidmore,#006A52,#FFD100
Mary Washington,#00305e,#686663
Washington & Lee,#003399,#FFFFFF
Trinity (TX),#723130,#FFFFFF
MIT,#A31F34,#8A8B8C
Brandeis,#002F6C,#FFFFFF
Case Western,#0a304e,#626262
Vassar,#ac0032,#7b7b7b
UW-Whitewater,#502D7F,#FFFFFF
La Verne,#2C5234,#FF8200
Carleton,#0B5091,#F3B61D
Denison,#FFFFFF,#FFFFFF
Kenyon,#FFFFFF,#FFFFFF
Oberlin,#FFFFFF,#FFFFFF
Lewis and Clark,#FFFFFF,#FFFFFF
UT-Dallas,#FFFFFF,#FFFFFF
Salisbury,#FFFFFF,#FFFFFF
Wellesley,#FFFFFF,#FFFFFF
Chapman,#FFFFFF,#FFFFFF
Wesleyan,#FFFFFF,#FFFFFF
Hope,#FFFFFF,#FFFFFF
Linfield,#FFFFFF,#FFFFFF
Babson,#FFFFFF,#FFFFFF
UT-Tyler,#FFFFFF,#FFFFFF
Christopher Newport,#FFFFFF,#FFFFFF
Kalamazoo,#FFFFFF,#FFFFFF
St. Thomas,#FFFFFF,#FFFFFF
Cal Lutheran,#FFFFFF,#FFFFFF
NYU,#FFFFFF,#FFFFFF
TCNJ,#FFFFFF,#FFFFFF
Gustavus Adolphus,#FFFFFF,#FFFFFF
Washington MD,#FFFFFF,#FFFFFF
Southwestern,#FFFFFF,#FFFFFF
East Texas Baptist,#FFFFFF,#FFFFFF
Rochester,#FFFFFF,#FFFFFF
CalTech,#FFFFFF,#FFFFFF
Swarthmore,#FFFFFF,#FFFFFF
Colby,#FFFFFF,#FFFFFF
Bates,#FFFFFF,#FFFFFF
Haverford,#FFFFFF,#FFFFFF
