Team,R,G,B,R,G,B
Williams,253,204,9,81,38,152
Emory,1,33,105,242,169,0
Amherst,63,31,105,255,255,255
Claremont-Mudd-Scripps,237,170,30,141,34,50
Middlebury,0,56,130,255,255,255
Bowdoin,0,0,0,255,255,255
Johns Hopkins,104,172,229,0,0,0
Chicago,128,0,0,118,118,118
Carnegie Mellon,176,0,0,255,255,255
Pomona-Pitzer,247,148,29,32,67,143
Redlands,122,36,38,225,225,225
Wash U St. Louis,0,115,96,165,20,23
DePauw,255,199,44,17,28,36
UC Santa Cruz,0,60,108,253,199,0
Sewanee,88,44,131,206,184,136
Whitman,0,31,91,255,198,39
Tufts,65,143,222,79,44,29
Trinity (CT),0,48,90,255,210,0
Skidmore,0,106,82,255,209,0
Mary Washington,0,48,94,104,102,99
Washington & Lee,0,51,153,255,255,255
Trinity (TX),114,49,48,255,255,255
MIT,163,31,52,138,139,140
Brandeis,0,47,108,255,255,255
Case Western,10,48,78,98,98,98
Vassar,172,0,50,123,123,123
UW-Whitewater,80,45,127,255,255,255
La Verne,44,82,52,255,130,0
Carleton,11,80,145,243,182,29
Denison,200,3,43,255,255,255
Kenyon,75,46,132,255,255,255
Oberlin,137,4,49,239,180,43
Lewis and Clark,230,107,63,0,0,0
UT-Dallas,199,91,18,0,133,66
Salisbury,128,0,0,247,197,90
Wellesley,0,39,118,236,222,187
Chapman,165,0,52,35,31,32
Wesleyan,16,24,32,215,33,33
Hope,244,106,31,0,34,68
Linfield,70,22,107,211,18,69
Babson,0,102,67,255,255,255
UT-Tyler,230,83,0,0,45,116
Christopher Newport,0,44,118,132,136,139
Kalamazoo,46,46,46,92,41,13
St. Thomas,52,27,69,255,255,255
Cal Lutheran,255,194,34,59,35,96
NYU,82,46,145,255,255,255
TCNJ,41,63,111,166,122,0
Gustavus Adolphus,235,183,0,0,0,0
Washington MD,89,89,89,116,13,44
Southwestern,255,205,0,0,0,0
East Texas Baptist,0,0,0,236,172,0
Rochester,0,59,113,255,209,0
Caltech,255,108,12,255,255,255
Swarthmore,99,25,25,0,0,0
Colby,0,40,120,255,255,255
Bates,136,17,36,0,0,0
Haverford,255,255,255,157,17,36
Wheaton (IL),237,154,76,0,105,170
Wheaton (MA),0,93,152,255,255,255
