Rank,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Williams,Williams,Williams,Williams,Williams,Emory,Williams,Emory,Williams,Claremont-Mudd-Scripps,Emory
2,Amherst,Emory,Amherst,Chicago,Emory,Amherst,Emory,Williams,Emory,Emory,Claremont-Mudd-Scripps
3,Emory,Amherst,Emory,Emory,Amherst,Williams,Amherst,Middlebury,Claremont-Mudd-Scripps,Williams,Amherst
4,Chicago,Chicago,Chicago,Amherst,Claremont-Mudd-Scripps,Johns Hopkins,Claremont-Mudd-Scripps,Bowdoin,Middlebury,Middlebury,Pomona-Pitzer
5,Washington & Lee,Denison,Tufts,Carnegie Mellon,Middlebury,Claremont-Mudd-Scripps,Middlebury,Claremont-Mudd-Scripps,Bowdoin,Wesleyan,Williams
6,Carnegie Mellon,Pomona-Pitzer,Denison,Middlebury,Bowdoin,Bowdoin,Carnegie Mellon,Pomona-Pitzer,Pomona-Pitzer,Tufts,Middlebury
7,Pomona-Pitzer,Gustavus Adolphus,CMS,Washington & Lee,Johns Hopkins,Carnegie Mellon,Pomona-Pitzer,Amherst,Tufts,Pomona-Pitzer,Wesleyan
8,Redlands,Carnegie Mellon,Washington & Lee,Claremont-Mudd-Scripps,Chicago,Wash U St. Louis,Bowdoin,Wesleyan,Wesleyan,Amherst,Tufts
9,Denison,Washington & Lee,Pomona-Pitzer,Bowdoin,Carnegie Mellon,Pomona-Pitzer,MIT,Tufts,Chicago,MIT,Chicago
10,Johns Hopkins,Tufts,Middlebury,DePauw,Pomona-Pitzer,Middlebury,Washington & Lee,Chicago,Carnegie Mellon,Chicago,Carnegie Mellon
11,Mary Washington,Middlebury,Johns Hopkins,Johns Hopkins,Redlands,DePauw,Johns Hopkins,Wash U St. Louis,Wash U St. Louis,Carnegie Mellon,Skidmore
12,DePauw,Johns Hopkins,Bowdoin,Pomona-Pitzer,Wash U St. Louis,Chicago,Sewanee,Carnegie Mellon,Washington & Lee,Sewanee,Bowdoin
13,Gustavus Adolphus,DePauw,Carnegie Mellon,Wash U St. Louis,DePauw,MIT,Wash U St. Louis,Sewanee,Johns Hopkins,Wash U St. Louis,NYU
14,Wash U St. Louis,Bowdoin,Wash U St. Louis,Tufts,UC Santa Cruz,La Verne,DePauw,Johns Hopkins,Amherst,Bowdoin,Trinity (TX)
15,Middlebury,Chapman,Gustavus Adolphus,Trinity (TX),Sewanee,Tufts,Chicago,Mary Washington,Mary Washington,Case Western,Swarthmore
16,Tufts,TCNJ,DePauw,Skidmore,Whitman,Skidmore,Skidmore,Washington & Lee,Trinity (TX),Skidmore,Wash U St. Louis
17,Bowdoin,Vassar,Sewanee,UW-Whitewater,Tufts,Trinity (CT),Wesleyan,MIT,Sewanee,Mary Washington,MIT
18,Wheaton (IL),Mary Washington,Chapman,Sewanee,Trinity (CT),Redlands,Redlands,Lewis and Clark,Case Western,Washington & Lee,Sewanee
19,UW-Whitewater,Skidmore,College of New Jersey,Wellesley,Skidmore,Washington & Lee,Mary Washington,Redlands,Brandeis,Brandeis,Mary Washington
20,Wellesley,Rochester,Carleton,Vassar,Mary Washington,Sewanee,Case Western,Case Western,Skidmore,NYU,Brandeis
21,Vassar,Wash U St. Louis,UC Santa Cruz,Trinity (CT),Washington & Lee,Mary Washington,Vassar,UW-Whitewater,Hope,Trinity (TX),CalTech
22,Trinity (TX),UW-Whitewater,MIT,Brandeis,Trinity (TX),Case Western,Whitman,Denison,MIT,Kenyon,Kenyon
23,TCNJ,Redlands,Mary Washington,Chapman,MIT,Brandeis,La Verne,Trinity (TX),DePauw,Johns Hopkins,TCNH
24,Chapman,Wheaton (IL),Wellesley,Redlands,Brandeis,Carleton,Tufts,Kenyon,Southwestern,Christopher Newport,Christopher Newport
25,Skidmore,Luther,Skidmore,TCNJ,Case Western,UW-Whitewater,Denison,DePauw,UW-Whitewater,Linfield,Washington & Lee
26,Luther,Sewanee,Vassar,Mary Washington,Vassar,Denison,UW-Whitewater,Whitman,Christopher Newport,Redlands,Johns Hopkins
27,Coe,UT-Tyler,Trinity (TX),Bates,UW-Whitewater,Whitman,Hope,Skidmore,Whitman,Whitman,Linfield
28,Birmingham Southern,Trinity (TX),Redlands,Whitman,La Verne,Wellesley,Brandeis,Brandeis,Lewis and Clark,UW-Whitewater,Vassar
29,Rhodes,UC Santa Cruz,Wheaton (MA),Carleton,Carleton,Vassar,Lewis and Clark,NYU,Gustavus Adolphus,Gustavus Adolphus,Hope
30,Sewanee,Carleton,Rochester,UC Santa Cruz,Denison,Chapman,Trinity (CT),TCNJ,Kenyon,Vassar,Case Western
31,,,Wheaton (IL),MIT,Kenyon,,Wellesley,Wellesley,Linfield,Denison,Redlands
32,,,,,Oberlin,,Trinity (TX),Christopher Newport,Wellesley,Chapman,Gustavus Adolphus
33,,,,,Lewis and Clark,,Chapman,UT-Tyler,NYU,Southwestern,Whitman
34,,,,,UT-Dallas,,Linfield,Hope,East Texas Baptist,Carleton,Vassar
35,,,,,Salisbury,,Babson,Linfield,Redlands,Babson,Carleton
36,,,,,,,UT-Tyler,Gustavus Adolphus,TCNJ,UT-Tyler,UW-Whitewater
37,,,,,,,Christopher Newport,St Thomas,Rochester,Wellesley,Chapman
38,,,,,,,Kalamazoo,Carleton,Oberlin,Colby,Southwestern
39,,,,,,,Oberlin,Washington MD,Carleton,Bates,Wellesley
