Rank,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Williams,Williams,Williams,Williams,Williams,Emory,Williams,Emory,Williams,Claremont-Mudd-Scripps,Emory
2,Amherst,Emory,Amherst,Chicago,Emory,Amherst,Emory,Williams,Emory,Emory,Claremont-Mudd-Scripps
3,Emory,Amherst,Emory,Emory,Amherst,Williams,Amherst,Middlebury,Claremont-Mudd-Scripps,Williams,Amherst
4,Chicago,Chicago,Chicago,Amherst,Claremont-Mudd-Scripps,Johns Hopkins,Claremont-Mudd-Scripps,Bowdoin,Middlebury,Middlebury,Pomona-Pitzer
5,Washington & Lee,Denison,Tufts,Carnegie Mellon,Middlebury,Claremont-Mudd-Scripps,Middlebury,Claremont-Mudd-Scripps,Bowdoin,Wesleyan,Middlebury
6,Carnegie Mellon,Pomona-Pitzer,Denison,Middlebury,Bowdoin,Bowdoin,Carnegie Mellon,Pomona-Pitzer,Pomona-Pitzer,Tufts,Wesleyan
7,Pomona-Pitzer,Gustavus Adolphus,Claremont-Mudd-Scripps,Washington & Lee,Johns Hopkins,Carnegie Mellon,Pomona-Pitzer,Amherst,Tufts,Pomona-Pitzer,Tufts
8,Redlands,Carnegie Mellon,Washington & Lee,Claremont-Mudd-Scripps,Chicago,Wash U St. Louis,Bowdoin,Wesleyan,Wesleyan,Amherst,Williams
9,Denison,Washington & Lee,Pomona-Pitzer,Bowdoin,Carnegie Mellon,Pomona-Pitzer,MIT,Tufts,Chicago,MIT,Chicago
10,Johns Hopkins,Tufts,Middlebury,DePauw,Pomona-Pitzer,Middlebury,Washington & Lee,Chicago,Carnegie Mellon,Chicago,Carnegie Mellon
11,Mary Washington,Middlebury,Johns Hopkins,Johns Hopkins,Redlands,DePauw,Johns Hopkins,Wash U St. Louis,Wash U St. Louis,Carnegie Mellon,Kenyon
12,DePauw,Johns Hopkins,Bowdoin,Pomona-Pitzer,Wash U St. Louis,Chicago,Sewanee,Carnegie Mellon,Washington & Lee,Sewanee,Mary Washington
13,Gustavus Adolphus,DePauw,Carnegie Mellon,Wash U St. Louis,DePauw,MIT,Wash U St. Louis,Sewanee,Johns Hopkins,Wash U St. Louis,Skidmore
14,Wash U St. Louis,Bowdoin,Wash U St. Louis,Tufts,UC Santa Cruz,La Verne,DePauw,Johns Hopkins,Amherst,Bowdoin,Bowdoin
15,Middlebury,Chapman,Gustavus Adolphus,Trinity (TX),Sewanee,Tufts,Chicago,Mary Washington,Mary Washington,Case Western,NYU
16,Tufts,TCNJ,DePauw,Skidmore,Whitman,Skidmore,Skidmore,Washington & Lee,Trinity (TX),Skidmore,Wash U St. Louis
17,Bowdoin,Vassar,Sewanee,UW-Whitewater,Tufts,Trinity (CT),Wesleyan,MIT,Sewanee,Mary Washington,MIT
18,Wheaton (IL),Mary Washington,Chapman,Sewanee,Trinity (CT),Redlands,Redlands,Lewis and Clark,Case Western,Washington & Lee,Brandeis
19,UW-Whitewater,Skidmore,TCNJ,Wellesley,Skidmore,Washington & Lee,Mary Washington,Redlands,Brandeis,Brandeis,Trinity (TX)
20,Wellesley,Rochester,Carleton,Vassar,Mary Washington,Sewanee,Case Western,Case Western,Skidmore,NYU,Caltech
21,Vassar,Wash U St. Louis,UC Santa Cruz,Trinity (CT),Washington & Lee,Mary Washington,Vassar,UW-Whitewater,Hope,Trinity (TX),Southwestern
22,Trinity (TX),UW-Whitewater,MIT,Brandeis,Trinity (TX),Case Western,Whitman,Denison,MIT,Kenyon,Washington & Lee
23,TCNJ,Redlands,Mary Washington,Chapman,MIT,Brandeis,La Verne,Trinity (TX),DePauw,Johns Hopkins,Johns Hopkins
24,Chapman,Wheaton (IL),Wellesley,Redlands,Brandeis,Carleton,Tufts,Kenyon,Southwestern,Christopher Newport,Christopher Newport
25,Skidmore,Luther,Skidmore,TCNJ,Case Western,UW-Whitewater,Denison,DePauw,UW-Whitewater,Linfield,Swarthmore
26,Luther,Sewanee,Vassar,Mary Washington,Vassar,Denison,UW-Whitewater,Whitman,Christopher Newport,Redlands,Sewanee
27,Coe,UT-Tyler,Trinity (TX),Bates,UW-Whitewater,Whitman,Hope,Skidmore,Whitman,Whitman,Denison
28,Birmingham Southern,Trinity (TX),Redlands,Whitman,La Verne,Wellesley,Brandeis,Brandeis,Lewis and Clark,UW-Whitewater,TCNJ
29,Rhodes,UC Santa Cruz,Wheaton (MA),Carleton,Carleton,Vassar,Lewis and Clark,NYU,Gustavus Adolphus,Gustavus Adolphus,Linfield
30,Sewanee,Carleton,Rochester,UC Santa Cruz,Denison,Chapman,Trinity (CT),TCNJ,Kenyon,Vassar,Hope
31,,,Wheaton (IL),MIT,Kenyon,,Wellesley,Wellesley,Linfield,Denison,Case Western
32,,,,,Oberlin,,Trinity (TX),Christopher Newport,Wellesley,Chapman,Carleton
33,,,,,Lewis and Clark,,Chapman,UT-Tyler,NYU,Southwestern,UW-Whitewater
34,,,,,UT-Dallas,,Linfield,Hope,East Texas Baptist,Carleton,Bates
35,,,,,Salisbury,,Babson,Linfield,Redlands,Babson,Gustavus Adolphus
36,,,,,,,UT-Tyler,Gustavus Adolphus,TCNJ,UT-Tyler,Whitman
37,,,,,,,Christopher Newport,St. Thomas,Rochester,Wellesley,Redlands
38,,,,,,,Kalamazoo,Carleton,Oberlin,Colby,Vassar
39,,,,,,,Oberlin,Washington MD,Carleton,Bates,Chapman
